id,name,decile_score,priors_count,c_charge_degree,juv_fel_count,family_criminality,criminal_attitude,criminal_associates,financial_problems,substance_abuse,noncompliance,social_environment,vocational,decile_score_level,priors_count_level,c_charge_degree_level,juv_fel_count_level,family_criminality_level,criminal_attitude_level,criminal_associates_level,financial_problems_level,substance_abuse_level,noncompliance_level,social_environment_level,vocational_level,priors_count_importance,c_charge_degree_importance,juv_fel_count_importance,family_criminality_importance,criminal_attitude_importance,criminal_associates_importance,financial_problems_importance,substance_abuse_importance,noncompliance_importance,social_environment_importance,vocational_importance,priors_count_importance_scaled,c_charge_degree_importance_scaled,juv_fel_count_importance_scaled,family_criminality_importance_scaled,criminal_attitude_importance_scaled,criminal_associates_importance_scaled,financial_problems_importance_scaled,substance_abuse_importance_scaled,noncompliance_importance_scaled,social_environment_importance_scaled,vocational_importance_scaled,priors_count_importance_level,c_charge_degree_importance_level,juv_fel_count_importance_level,family_criminality_importance_level,criminal_attitude_importance_level,criminal_associates_importance_level,financial_problems_importance_level,substance_abuse_importance_level,noncompliance_importance_level,social_environment_importance_level,vocational_importance_level
142,richard veach,8,9,F,0,5,8,7,3,8,6,5,4,high,high,high,low,medium,high,high,low,high,high,medium,medium,0.044,0.0,-0.0,0.0,0.0,0.062,-0.038,0.121,0.125,-0.001,-0.026,0.354,0.003,0.0,0.0,0.0,0.491,0.306,0.962,1.0,0.005,0.205,medium,low,low,low,low,medium,low,high,high,low,low
531,dijohn frazier,10,6,M,0,6,7,7,5,7,10,5,8,high,high,low,low,high,high,high,medium,high,high,medium,high,0.008,-0.001,-0.0,0.0,0.0,0.062,-0.001,0.113,0.253,-0.001,0.023,0.03,0.005,0.0,0.0,0.0,0.246,0.006,0.445,1.0,0.002,0.093,low,low,low,low,low,low,low,medium,high,low,low
629,kenny castillo,3,0,M,0,7,4,4,4,5,5,1,4,low,low,low,low,high,medium,medium,medium,medium,medium,low,medium,-0.021,-0.0,-0.0,0.0,0.0,-0.052,-0.017,-0.022,-0.084,0.016,-0.016,0.256,0.004,0.0,0.0,0.0,0.62,0.199,0.266,1.0,0.187,0.195,low,low,low,low,low,medium,low,low,high,low,low
638,steve sevil,6,8,F,0,5,2,5,6,6,6,4,4,high,high,high,low,medium,low,medium,high,high,high,medium,medium,0.026,0.0,-0.0,0.0,0.0,-0.018,0.027,0.082,0.161,0.002,-0.037,0.158,0.001,0.0,0.0,0.0,0.113,0.166,0.507,1.0,0.015,0.231,low,low,low,low,low,low,low,medium,high,low,low
787,rayman ruiz,4,7,M,0,6,5,4,1,7,5,3,1,medium,high,low,low,high,medium,medium,low,high,medium,low,low,0.053,-0.001,-0.0,-0.0,0.0,-0.06,-0.029,0.123,-0.122,0.005,-0.018,0.435,0.005,0.0,0.0,0.0,0.485,0.236,1.0,0.992,0.042,0.145,medium,low,low,low,low,medium,low,high,high,low,low
963,stephanie coello,5,1,F,0,7,4,7,4,6,6,2,4,medium,low,high,low,high,medium,high,medium,high,high,low,medium,-0.017,0.0,-0.0,0.0,0.0,0.066,-0.044,0.07,0.114,0.003,-0.037,0.151,0.004,0.0,0.0,0.0,0.579,0.384,0.612,1.0,0.03,0.32,low,low,low,low,low,medium,medium,medium,high,low,low
1216,mitchell berlanga,6,2,F,0,8,4,5,5,6,5,5,4,high,low,high,low,high,medium,medium,medium,high,medium,medium,medium,-0.025,0.0,-0.0,-0.0,0.0,-0.016,0.003,0.109,-0.133,-0.001,-0.019,0.185,0.002,0.0,0.0,0.0,0.12,0.025,0.821,1.0,0.01,0.141,low,low,low,low,low,low,low,high,high,low,low
1254,anthony freeman,8,20,F,1,5,2,3,4,10,7,7,5,high,high,high,low,medium,low,low,medium,high,high,high,medium,0.071,0.0,0.0,-0.0,0.0,-0.037,-0.024,0.151,0.193,-0.002,0.001,0.365,0.001,0.0,0.0,0.0,0.192,0.123,0.78,1.0,0.012,0.008,medium,low,low,low,low,low,low,high,high,low,low
1353,charles cavey,1,1,F,0,3,7,1,4,4,4,8,3,low,low,high,low,low,high,low,medium,medium,medium,high,low,-0.018,0.0,-0.0,-0.0,0.0,-0.071,-0.012,-0.085,-0.112,-0.011,-0.012,0.159,0.002,0.0,0.0,0.0,0.636,0.109,0.764,1.0,0.101,0.105,low,low,low,low,low,medium,low,high,high,low,low
1859,nicole moncur,3,0,M,0,7,5,6,7,6,6,7,7,low,low,low,low,high,medium,high,high,high,high,high,high,-0.013,-0.001,-0.0,0.0,0.0,0.049,0.035,0.081,0.154,-0.002,0.033,0.087,0.007,0.0,0.0,0.0,0.318,0.225,0.528,1.0,0.011,0.212,low,low,low,low,low,low,low,medium,high,low,low
